structure_id,filename,total_atoms,Al_atoms,Co_atoms,Al_fraction,Co_fraction,CHGNet_energy_eV_per_atom,CHGNet_total_energy_eV,reference_energy_eV_per_atom,formation_energy_eV_per_atom
1,AlCo_01_Al0.125_seed1.cif,32,4,28,0.125,0.875,-5.953478813171387,-190.5113220214844,-6.604730993509293,0.6512521803379059
2,AlCo_02_Al0.125_seed2.cif,32,4,28,0.125,0.875,-5.946022987365723,-190.27273559570312,-6.604730993509293,0.65870800614357
3,AlCo_03_Al0.125_seed3.cif,32,4,28,0.125,0.875,-5.953478813171387,-190.5113220214844,-6.604730993509293,0.6512521803379059
4,AlCo_04_Al0.250_seed1.cif,32,8,24,0.25,0.75,-5.729022026062012,-183.3287048339844,-6.1846707463264465,0.4556487202644348
5,AlCo_05_Al0.250_seed2.cif,32,8,24,0.25,0.75,-5.728135108947754,-183.30032348632807,-6.1846707463264465,0.4565356373786926
6,AlCo_06_Al0.250_seed3.cif,32,8,24,0.25,0.75,-5.729217529296875,-183.3349609375,-6.1846707463264465,0.45545321702957153
7,AlCo_07_Al0.375_seed1.cif,32,12,20,0.375,0.625,-5.484913349151611,-175.51722717285156,-5.7646104991436005,0.27969714999198914
8,AlCo_08_Al0.375_seed2.cif,32,12,20,0.375,0.625,-5.499300003051758,-175.97760009765625,-5.7646104991436005,0.26531049609184265
9,AlCo_09_Al0.375_seed3.cif,32,12,20,0.375,0.625,-5.499982833862305,-175.99945068359375,-5.7646104991436005,0.2646276652812958
10,AlCo_10_Al0.500_seed1.cif,32,16,16,0.5,0.5,-5.2556352615356445,-168.18032836914062,-5.344550251960754,0.08891499042510986
11,AlCo_11_Al0.500_seed2.cif,32,16,16,0.5,0.5,-5.256351947784424,-168.20326232910156,-5.344550251960754,0.08819830417633057
12,AlCo_12_Al0.500_seed3.cif,32,16,16,0.5,0.5,-5.2586164474487305,-168.27572631835938,-5.344550251960754,0.08593380451202393
13,AlCo_13_Al0.625_seed1.cif,32,20,12,0.625,0.375,-4.9878668785095215,-159.6117401123047,-4.924490004777908,-0.06337687373161316
14,AlCo_14_Al0.625_seed2.cif,32,20,12,0.625,0.375,-4.982212543487549,-159.43080139160156,-4.924490004777908,-0.0577225387096405
15,AlCo_15_Al0.625_seed3.cif,32,20,12,0.625,0.375,-4.99176025390625,-159.736328125,-4.924490004777908,-0.06727024912834167
16,AlCo_16_Al0.750_seed1.cif,32,24,8,0.75,0.25,-4.648947238922119,-148.7663116455078,-4.504429757595062,-0.14451748132705688
17,AlCo_17_Al0.750_seed2.cif,32,24,8,0.75,0.25,-4.660930156707764,-149.14976501464844,-4.504429757595062,-0.15650039911270142
18,AlCo_18_Al0.750_seed3.cif,32,24,8,0.75,0.25,-4.654945373535156,-148.958251953125,-4.504429757595062,-0.150515615940094
19,AlCo_19_Al0.875_seed1.cif,32,28,4,0.875,0.125,-4.225908756256104,-135.2290802001953,-4.084369510412216,-0.14153924584388822
20,AlCo_20_Al0.875_seed2.cif,32,28,4,0.875,0.125,-4.212704181671143,-134.80653381347656,-4.084369510412216,-0.1283346712589264
21,AlCo_21_Al0.875_seed3.cif,32,28,4,0.875,0.125,-4.218432426452637,-134.98983764648438,-4.084369510412216,-0.13406291604042053
