structure_id,filename,total_atoms,Al_atoms,Co_atoms,Al_fraction,Co_fraction,CHGNet_energy_eV_per_atom,CHGNet_total_energy_eV
1,AlCo_01_Al0.125_seed1.cif,32,4,28,0.125,0.875,-5.953478813171387,-190.51132202148438
2,AlCo_02_Al0.125_seed2.cif,32,4,28,0.125,0.875,-5.946022987365723,-190.27273559570312
3,AlCo_03_Al0.125_seed3.cif,32,4,28,0.125,0.875,-5.953478813171387,-190.51132202148438
4,AlCo_04_Al0.250_seed1.cif,32,8,24,0.25,0.75,-5.729022026062012,-183.32870483398438
5,AlCo_05_Al0.250_seed2.cif,32,8,24,0.25,0.75,-5.728135108947754,-183.30032348632812
6,AlCo_06_Al0.250_seed3.cif,32,8,24,0.25,0.75,-5.729217529296875,-183.3349609375
7,AlCo_07_Al0.375_seed1.cif,32,12,20,0.375,0.625,-5.484913349151611,-175.51722717285156
8,AlCo_08_Al0.375_seed2.cif,32,12,20,0.375,0.625,-5.499300003051758,-175.97760009765625
9,AlCo_09_Al0.375_seed3.cif,32,12,20,0.375,0.625,-5.499982833862305,-175.99945068359375
10,AlCo_10_Al0.500_seed1.cif,32,16,16,0.5,0.5,-5.2556352615356445,-168.18032836914062
11,AlCo_11_Al0.500_seed2.cif,32,16,16,0.5,0.5,-5.256351947784424,-168.20326232910156
12,AlCo_12_Al0.500_seed3.cif,32,16,16,0.5,0.5,-5.2586164474487305,-168.27572631835938
13,AlCo_13_Al0.625_seed1.cif,32,20,12,0.625,0.375,-4.9878668785095215,-159.6117401123047
14,AlCo_14_Al0.625_seed2.cif,32,20,12,0.625,0.375,-4.982212543487549,-159.43080139160156
15,AlCo_15_Al0.625_seed3.cif,32,20,12,0.625,0.375,-4.99176025390625,-159.736328125
16,AlCo_16_Al0.750_seed1.cif,32,24,8,0.75,0.25,-4.648947238922119,-148.7663116455078
17,AlCo_17_Al0.750_seed2.cif,32,24,8,0.75,0.25,-4.660930156707764,-149.14976501464844
18,AlCo_18_Al0.750_seed3.cif,32,24,8,0.75,0.25,-4.654945373535156,-148.958251953125
19,AlCo_19_Al0.875_seed1.cif,32,28,4,0.875,0.125,-4.2259087562561035,-135.2290802001953
20,AlCo_20_Al0.875_seed2.cif,32,28,4,0.875,0.125,-4.212704181671143,-134.80653381347656
21,AlCo_21_Al0.875_seed3.cif,32,28,4,0.875,0.125,-4.218432426452637,-134.98983764648438
