structure_id,filename,total_atoms,Al_atoms,Co_atoms,Al_fraction,Co_fraction,random_seed
1,AlCo_01_Al0.125_seed1.cif,32,4,28,0.125,0.875,1
2,AlCo_02_Al0.125_seed2.cif,32,4,28,0.125,0.875,2
3,AlCo_03_Al0.125_seed3.cif,32,4,28,0.125,0.875,3
4,AlCo_04_Al0.250_seed1.cif,32,8,24,0.25,0.75,1
5,AlCo_05_Al0.250_seed2.cif,32,8,24,0.25,0.75,2
6,AlCo_06_Al0.250_seed3.cif,32,8,24,0.25,0.75,3
7,AlCo_07_Al0.375_seed1.cif,32,12,20,0.375,0.625,1
8,AlCo_08_Al0.375_seed2.cif,32,12,20,0.375,0.625,2
9,AlCo_09_Al0.375_seed3.cif,32,12,20,0.375,0.625,3
10,AlCo_10_Al0.500_seed1.cif,32,16,16,0.5,0.5,1
11,AlCo_11_Al0.500_seed2.cif,32,16,16,0.5,0.5,2
12,AlCo_12_Al0.500_seed3.cif,32,16,16,0.5,0.5,3
13,AlCo_13_Al0.625_seed1.cif,32,20,12,0.625,0.375,1
14,AlCo_14_Al0.625_seed2.cif,32,20,12,0.625,0.375,2
15,AlCo_15_Al0.625_seed3.cif,32,20,12,0.625,0.375,3
16,AlCo_16_Al0.750_seed1.cif,32,24,8,0.75,0.25,1
17,AlCo_17_Al0.750_seed2.cif,32,24,8,0.75,0.25,2
18,AlCo_18_Al0.750_seed3.cif,32,24,8,0.75,0.25,3
19,AlCo_19_Al0.875_seed1.cif,32,28,4,0.875,0.125,1
20,AlCo_20_Al0.875_seed2.cif,32,28,4,0.875,0.125,2
21,AlCo_21_Al0.875_seed3.cif,32,28,4,0.875,0.125,3
